しかし、幽々子が犯人ならそろそろ妖夢のヤツが出てきても良い気がするんだが……,多分、妖夢は出てこないわ。　　　幽々子は間違いなく関わっているでしょうけど、今回の異変は対外的にはあくまで“魔女”が主体となって行っている事にしたい筈よ。　　　白玉楼として表立った動きは見せないと思うわ
私は影の魔女、エルザマリア……。　時にお二方は救いを求めてはいませんか？,アンタの言う救いがなんなのかは知らないけど、この異変を終わらせる手伝いなら今すぐ欲しいわ
夕飯までには全部片付けときたいのよねぇ……,ならば私と共に祈りましょう、そして救済が訪れるのを待つのです
あいにくだが、待つのは私の性分じゃねーんだ。　他のヤツを誘いな,天は自らを助くる者を助く、救済は待つものじゃなくて掴む物よ。　　　それにお祈りをするなら賽銭奮発して10秒祈ったほうがよっぽど御利益があるわ
天は自らを助くる者を助く、救済は待つものじゃなくて掴む物よ。　　　それにお祈りをするなら賽銭奮発して10秒祈ったほうがよっぽど御利益があるわ,賽銭の強要もそこそこにしとけよ？　相手は新参なんだからな
賽銭の強要もそこそこにしとけよ？　相手は新参なんだからな,失礼ね。一度たりとも強要なんかしてないわ。　あくまで相手の自由意志を尊重してるわよ
そろそろよろしいでしょうか？,いつでも良いわ、というかさっさと終わらせたいから早くやっちゃってくれない？
そんなに早く終わりにしたいのですか？　なら、私の影の世界に入ってしまえば楽ですよ？,ちょっと、明るくなっただけで弾幕じゃないじゃない。何考えてるのよ
慌てないで下さい、これは言うなれば準備です。それでは、行きますよ？,っ！？
っ！？,どうですか？　自分自身の影に攻撃される気分と言うのは
どうですか？　自分自身の影に攻撃される気分と言うのは,背後から撃たれて気分が良い訳ないでしょ！
背後から撃たれて気分が良い訳ないでしょ！,まったく危なげない回避……。　流石、と言っておきましょうか。　　　　　　　ですが、後ばかり気にしていてはダメですよ？
まったく危なげない回避……。　流石、と言っておきましょうか。　　　　　　　ですが、後ばかり気にしていてはダメですよ？,ちょっとアンタ！　スペル２つを多重発動とか何考えてるのよ！
ちょっとアンタ！　スペル２つを多重発動とか何考えてるのよ！,多重発動ではなく上位互換です。　　　　　　　先ほどのスペルは貴女の影を操るスペル、このスペルはこの場に存在する影全てを操るスペル、まったくの別物です
多重発動ではなく上位互換です。　　　　　　　先ほどのスペルは貴女の影を操るスペル、このスペルはこの場に存在する影全てを操るスペル、まったくの別物です,～～～～っ！！　今に見てなさい、この御礼はきっちり返させてもらうわよ！
霊夢、それは悪役の台詞だぜ！,使い魔ってことはあの影も妖怪なんでしょ？　それなら……
使い魔ってことはあの影も妖怪なんでしょ？　それなら……,ひいふうみぃ…………、八体はやったわね
ひいふうみぃ…………、八体はやったわね,使い魔では貴女に対しては分が悪いようですね。作戦変更が必要かしら？
使い魔では貴女に対しては分が悪いようですね。作戦変更が必要かしら？,必要だと思うわ。　他力本願な相手に負けるほど私は甘くないもの
影の中に入ったら弾が見えない、ってか、厄介な事してくれるぜ,そう？　簡単な話じゃない、アイツの影に入らなければ良いのよ
そうは言うがな、アイツの影の向きがしょっちゅう変わるから、意外と厄介だぜ？,燈が強くなってから、影が濃くなるまで若干だけど時間があるわ、その隙に移動するのよ
これで明るい所は殆どありません。　さてどうなさりますの？　紅白の巫女さん,………………
………………,おいおい、何考えてるんだよ霊夢！　弾幕が来るぞ！
おいおい、何考えてるんだよ霊夢！　弾幕が来るぞ！,霊夢のヤツ、一体何がしたかったんだ…………ん？
霊夢のヤツ、一体何がしたかったんだ…………ん？,どうなってるんだ？　……まさか！？
良くあんなのが見分けられたな、あんなの目を慣らさなきゃ分からんぞ…………ああ、そういう事か,本当に鋭い方ですね。　仕方ありません、次に参りましょう
